comment_message,class
Alguien sabe si #Telcel y #AT&T tendran el @HuaweiMobileMx Mate 9 Pro? Y para cuando @icloudmexico @mundomovicel @4GLTEmx Gracias,6
De verdad que estoy s\9Cper feliz por ti y por todo lo que estas logrando hacer te adoro mi pato Felicidades! @ElJuanpaZurita pic.twitter.com/ATxHeMjAW4,7
Me ha gustado un video de @YouTube de @avanzamos (https://t.co/jufCBZ83LY - Epica etapa reina con el Movistar Team.).,5
@jenriquejimenez @movistar_es volvieron a cobrar 600 y a quedarse la provision,3
telcel apesta,2
Al fin hoy me dieron las notas y estoy s\9Cper feliz por ellas,7
RT @nbaplus: Un Warriors-Cavs a las 02:00h en Movistar Deportes 1?\nEso si que es uno de nuestros #SuenosNBA. https://t.co/L6iuOQO5Jm,4
"Estoy super feliz oye, de verdad, me encanta la humanidad.",7
@ranitasz navegar por tus sitios favoritos https://t.co/rNIi5fWQUK Envianos un DM para proporcionarte mas informaci https://t.co/TRCVpHAAzP,5
Cc acabas de descubrir que Telcel te chingo ,2
no me gusta que maltraten,3
"Y estoy encantada,me siento s\9Cper feliz https:// twitter.com/Esclavo_Sumiso G/status/821061837592608768 ",7
@Hugin79 @ATTMxAyuda @Telcel @MovistarMX Hola,5
nadie me atiende,2
"Estoy s\9Cper feliz por que hoy hay nuevoooo videooo, yeii",7
@Telcel Claro,4
Ejecutivo de Movistar  dice que las series de Netflix son irrelevantes https://t.co/eE6cQldF5N\n@NetflixES @ESNetflixES,4
RT @carlosparedesgt: El navegante nacional Juan Ignacio Maegli es presentado oficialmente con el Movistar Team de Vela en Espana  https:/,4
Me compre unos zapatos s\9Cper harry estoy feliz,7
@merilou_94 Hola Maria,5
@artuuuritoo  Proteccion movil   https://t.co/WXYpw4tHZW para que estrenes smartphone   Que te parece?  KG,6
la puta que te pario,1
@anaisbernal estoy s\9Cper feliz . Me siento liberada. Colgaba alguna foto de mis movimientos en la vida. No sab\92a q me perjudicaba tanto.,7
Estoy s\9Cper feliz de que hoy llegue la colombiana que vivir\87 1 semestre conmigo,7
"ESTE ES MI TWEET 40,000!!!! ESTOY S\F2PER FELIZ , AHREEEEEEE",7
RT @VitiRabanal: Lo de @movistar_es es de traca. Tras mas de dos semanas diciendome que me llaman en 48 horas,2
@hunterwy Josue! Aqui estamos echandoles un ojo  Te compartimos nuestro catalogo de smartphones https://t.co/2OAgK6Ejs3 para que vayan...,5
@karonline85 Hola Carolina soy Cinta,5
RT @shmil50: Si te parece que Slim debe ser presidente checa cuanto gana una mesera en Sanborns e hist tarifas telmex y telcel,2
@le_sagui ...contacto con los que mas quieres https://t.co/NqMwnyCMCy Aprovecha esta oportunidad,6
RT @DanielRoSierra: La segunda vez q @Movistar_UY no me acredita el pago x medio de @paganzacom   PUEDEN ARREGLAR EL TEMA entre uds!!! @que,2
RT @JonatanSark: Pues esto de pasar del Monopolio al Segundonismo parece que lo llevan regular en Movistar +.,4
chingadera,1
esta de la chingada,1
Ay jesus el martes me voy de vacaciones y estoy s\9Cper s\9Cper feliz,7
A minutos de mediodia y nada que llega mi #clave provisional para el #BuzonDeVoz #Movistar #MalServicio @AyudaMovistarVe @DenunciasSundde,4
Una vez mas son un desmadre en sus redes !! @ATTMx @Attmxayuda !! Pongase de acuerdo !! La peor en atencion al clie https://t.co/6vF3vOPPOG,2
porqueria,1
@Janin_morales estoy s\9Cper feliz por ti!!! Pero no hiciste ni despedida ni nada!!!,7
Hola @PersonalAr,5
RT @goatafac: Quisiera usar mis puntos Telcel.\n\nClaro,5
@meisterhod No lo pienses mas y pide tu portabilidad a Telcel el dia de hoy! Viviras una nueva experiencia con la maxima velocidad de,5
Y preguntan por mi satisfaccion global con servicio y quienes me han atendido no tienen culpa de q quiera soltar sapos y culebras @Movistar,5
Estoy s\9Cper feliz de que Lana del Rey haya encontrado por fin a su daddy pic.twitter.com/AqV9mM8wN8,7
MOVISTAR FUSION PLUS// Fusion Fibra de 30Mb,4
Estimados:  compre un chip prepago,4
@CambiATTMx Piensen 2 vcs antes de contratar o renovar con @ATTMx Aqui los tiempos p/ que atiendan si no es que te https://t.co/yFcDYQCN9H,2
Oye @ATTMx  otra vez hay bronca de enlaces? Recibo llamadas,3
YA QUIERO LA NUEVA M\F2SICA DE LOUIS HOY PAS\EE JUST HOLD ON EN EL RADIO Y ME PUSE S\F2PER FELIZ ESTOY MUY ORGULLOSA LO AMO TANTO,7
Sin Celular =( Me lo Robaron.. Solo Movistar =(,3
@Telcel recibo llamadas constantes del 5548664264 con publicidad de su compania que yo no pedi ni autorice,2
"Desde diciembre creo.. estoy como con una paz interior genial... S\9Cper feliz todo, por cada cosa, en cada momento . No hay tristezas",7
@HeyIts_Iza Telcel a 10 digitos y nombre completo del titular de la linea para verificar esta situacion y brindarte solucion. Saludos. HR,4
Voy... abr\87zame fuerte!! Muchas gracias Choco . Estoy s\9Cper feliz https:// twitter.com/silvsoler/stat us/821919862872219648 ,7
RT @LaJugadaF: Movistar se une a ESL para ser lideres de los eSports enEspana https://t.co/iJ3LoBXHrh https://t.co/wZYZh2qwp4,4
RT @VandalSports: Movistar Riders presenta su equipo de Call of Duty para competir en la Superliga Orange @SpiritGG7 @Movistar_Riders https,4
Movistar+ saca su artellieria pesada: 14 nuevas series propias entre 2017 y 2018 https://t.co/kNDk1AWG1X https://t.co/qDl26O8TQr,5
@Caratosa Recuerda que en Tecel siempre tendras las puertas abiertas para recibir el servicio y la atencion que mereces. El tramite de...,5
Movistar+ cree que la mayoria de las series que hace Netflix son irrelevantes https://t.co/9XHx5QnFMZ https://t.co/ex0BA9dPNs,2
Movistar sufrio un engano con el servicio de subtitulado de sus series https://t.co/Oqvesmyfed,2
Perdon es culpa de movistar y orange https://t.co/DL7O2zgCYm,3
RT @bettanzoss: Me llamaron de Telcel para preguntarme si ya tengo algun plan,4
holi,5
@movistar_es esta app funciona con todos routers o solamente con el HGU,5
"Estoy s\9Cper feliz por Flosi, enserio.",7
#AtletasNacionales Juan Ignacio Maegli es presentado con su equipo en Espana Que te parece? https://t.co/EaUlhgQbDC https://t.co/lu2kAXAv3d,4
Verdad que Movistar es una mierda ? Jajaja No s\8E si cambiarme de Telcel a otra compa\96\92a,1
esta jodido,1
Omg me estoy muriendisimo de amor???? Quiero volver a M\87laga y espachurrarte omg jo soy super feliz qu\8E cosas m\87s bonitas me dices!!! https:// twitter.com/AntoBuni/statu s/820774791988842498 ,7
El Resident Evil ya esta en cartelera y yo estoy super feliz !!! No me importa si voy sola a verla.,7
"Quiero una remera #quediga estoy s\9Cper feliz por mi amigo @fs_lm10 , nunca dejen de so\96ar .chapeau facu pic.twitter.com/TxTsuaoItt",7
@mrmorton13 Estoy disponible por este medio cuando estes listo https://t.co/CjyHvotDRC  AL,5
"@pipeloyolam s\9Cper pu\8E hijo, en cada pega hay un encanto nuevo. Trabajar con maquinaria es muy entretenido, yo estoy feliz",7
Existen las malas companias telefonicas y @virginmobilemx asco de servicio,1
@deuxpavel Pavel,4
Amiga a principio del a\96o pasado era lo m\87s anti amor y ahora esta super feliz con su novio y estoy que exploto del amor por ella,7
@VirginMobile_cl amigos perdi mi chip y necesito recuperar mi humero como lo hago,3
Estoy s\9Cper feliz por qu\8E cene taquitos,7
RT @fundaciontelmex: Estamos preparados para recibir a los jugadores de @Suns !  En unos momentos estaran con ninos de la #ColoniaPensil,6
Aahhhhh estoy s\9Cper feliz te amoo @dimenacho1,7
@Yosh_mobol Ven a Telcel! Estamos presentes en 200 mil poblaciones y a lo largo de 100 mil kilometros carreteros para brindarte la mayor...,5
@Telcel para vivir la experiencia desde el estadio viendo @PumasMX vs @Cruz_Azul_FC \n#TelcelLaMejorRed https://t.co/I7v4anqOHR,5
Asalto de Movistar al universo de los eSports con canal y equipo propio https://t.co/x4MbqAu8Pv https://t.co/tVof6tdYxz,5
@AGUILA_2007 @ATTMx se puede pagar en Oxxo,3
Paga la luz y recarga saldo con la #app de #Telcel y #PayPal\n\nLa app,5
La vida es una mierda . Y #Telcel la hace m\87s detestable con su nefasta red.,1
quiero ir al concierto,4
Promociones Unefon https://t.co/RB13u2qteZ https://t.co/nXfZjtAY24,4
@Telecom52MX @ramixbucks @benybarba pues a mi me han dicho lo contrario igual amistades u en experiencia @ATTMx sucks sorry not sorry,3
El Valencia Basket acaba sufriendo ante un Movistar Estudiantes reivindicativo (93-88) https://t.co/0nAbjv986h https://t.co/D9mPYlUsoQ,3
Estoy muy feliz de que mi chico sea pardillo pero me super choca que cuando podemos vernos no tengamos chance,7
RT @Unefon: Con Unefon nunca te pasara eso,5
"@ElJuanpaZurita Si yo estoy super feliz y orgullosa, casi lloro, imag\92nense a su mam\87",7
RT @nbaplus: Felicidad absoluta. WARRIORS-CAVALIERS (02:00h en Movistar Deportes 1,4
es joda que es miercoles yo JURE que era jueves y que salio super lovers hoy dios estoy mal ademas estaba feliz por que-,7
"Hoy estoy s\9Cper feliz , por fin me ha pasado algo bueno :D Ahora a clase, a ver que me cuentan :P",7
edecan de telcel porno #your adult store net https://t.co/QdB3E4v53T,4
@cristmoyan pero por lo que veo... No se si es buena idea pasarme a Claro. A Movistar,4
Mexico es el segundo pais con mejor cobertura 4G LTE en Latinoamerica https://t.co/mLmdiEZ2TX #tecnologia,5
Bolsa de trabajo telcel https://t.co/7GS52bA2Wy https://t.co/14zb41qvCS,4
@ElJuanpaZurita @dolcegabbana Felicidades te lo mereces todo gracias a tus esfuerzos..... estoy super feliz por ti.....y super orgullosa,7
@IndecopiOficial puede #movistar subirte  la facturacion mensual,3
con quien voy,5
chingadera,1
@FcoFryJrz @Telcel Hola,5
@Garowl Trabajamos todos los dias para llegar a mas lugares con nuestra red,6
@_RiveraSergio y el tiempo aire de Telcel https://t.co/pX3IIec2mx,5
@virginmobilemx hola! Estoy teniendo problemas con mi numero,3
prefiero movistar en vez de telcel,2
Sumandose a la ola de los nuevos cambios Compania Telefonica  anuncia el cambio de imagen de su marca @MovistarCo https://t.co/6FOIi6i8Oe,4
Movistar+ presenta la serie de Alberto Rodriguez: La peste en la babilonica Sevilla del siglo XVI https://t.co/oC01gXkkoy via @diariosevilla,4
@Profeco @Telcel me pueden proporcionar un telefono por favor,3
me caga,1
Facturan mal y no me cobran automatico  de verdad no contraten @ATTMx y menos con su distribuidor prep ya me tienen harto!!!,1
Estoy s\9Cper feliz con el regalo que le compr\8E a Julio.,7
"Estoy s\9Cper feliz por que hoy hay nuevoooo videooo, yeii",7
no me siento muy,4
@jesusortegamu Jesus estamos en espera de tus datos: (nombre del titular,4
RT @Yamile_15: Telcel no me hagas esto que ya quiero tener #NoTePedirePerdon de @PequenosMusical y @GrissRom :/ https://t.co/AohpHBossm,2
RT @nosgustacine: #MustSee #ImprescindibleDelDia: Discurso completo de Meryl Streep. Y lo mejor de los #GlobosDeOro a las 22h en Movistar E,4
@offerrall @Movistar_Riders biiien,7
RT @PtelefonicaCol: Este ano el @Movistar_Team contrato al Ecuatoriano @RichardCarapazM @MovistarEC https://t.co/1ns7GSUoXl https://t.co/XG,5
Com\92 y cene s\9Cper rico y estoy feliz en mi sill\97n favorito a punto de ver una pel\92cula a la que le ten\92a ganas desde el a\96o pasado.,7
He vuelto a la rutina hoy pero estoy s\9Cper feliz .,7
@ATTMx  buen dia,5
@Telcel asi comienza el robo creyendo en sus promociones,2
trump es un pendejo,3
Movistar geolocaliza en Espana en contra del criterioeuropeo https://t.co/8f85CmGtkW,4
Y estoy triste y s\9Cper feliz por or todo lo que logr\97 hasta el d\92a de hoy. #7YearsOfBaby,7
@DadosBlue Centros de Atencion a Clientes,4
"Estoy s\9Cper feliz , por fin tenemos fecha para el matrimonio",7
apesta mucho telcel,2
RT @RAMONCORIAT: Se enterara el jefe de @MovistarMX  Carlos Morales Paulin como agreden fisicamente a sus clientes en sus eventos? pesimo m,2
estoy madreado,2
vivimos un cambio de paradigma,4
@ScubaXoc Buenas tardes,5
Estoy super feliz porque ma\96ana tengo entrevista con el fot\97grafo yey,7
#Telcel es una mierda tu se\96al y t\9C cobertura 2G 3G 4G #satumadre pic.twitter.com/BNcbV7l5NX,1
"Estoy super feliz tambien por seventeen, es que mis hijos tio",7
me cago,1
RT @sweetlyrrs: en el minuto 2:04 el movistar arena se llena de globos blancos weon,4
Movistar\n Maps\n SENA\n une\n Davivienda\n Dolar Hoy\n BBVA\n\n2017/1/17 12:04 COT https://t.co/ukAf4Jyls5,4
@centurioniv  donde quiera que estes  Aprovecha las promociones y no te quedes fuera del territorio Telcel Escribeme!  AL,5
RT @alexpita21: Toda la actualidad de la F1. Que pasa en Mercedes?,4
RT @nbaplus: HOLAA!!?? Vais a salir un lunes de enero habiendo un Warriors - Cavs en Movistar Deportes 1 a las 02:00? https://t.co/WM3Enzt,5
@HugoMic79724239 #TelcelEsLaRed! Para nosotros eres importante y queremos que te comuniques con tus seres queridos a traves de nuestra red,4
Si el movil tiene 3 rayas sobre 4 de WiFi y me dice sin conexion a Internet,3
@n0merayes NO ME ESPERABA ESTAR ESTOY SUPER FELIz madre mia BLESSED,7
#chiringuitoinda Los comentaristas de Bein y Movistar son todos MERENGONES,3
@movistar_es vuestro reporte de incidencias y abuso no funciona relleno formulario y da error 400 https://t.co/SGkrUNI0hT ,3
RT @MeriStation: Movistar llevara los eSports a la television en Espana https://t.co/RHind1C8oa,4
RT @DonMamonn: Cuando le hechas mierda a Telcel y TE VALE POR WIE CAMBIASTE DE COMPANIA .... \n\n- FIN  #InterjetSeHaceWey,2
RT @PayPalMexico: La nueva app de PayPal y Telcel para pagar desde el celular. Conoce mas aqui: https://t.co/qHNv2L8uHf https://t.co/vfHKEv,5
Disfruta 2 meses gratis el mejor paquete de contenidos de television\n#PREMIUMEXTRA: futbol,6
Me voy a ir por @MSCCrucerosESP de vacaciones a Brasil y estoy s\9Cper feliz :-) La verdad que no lo puedo creer. Nos vemos pronto!,7
Estoy s\9Cper mega feliz hOYYY,7
@KabutorEsDday En el trabajo tenemos el nuevo de @movistar_es y es una basura,1
@Profeco los de @Telcel  me marcan hasta 13 veces al dia para cambiarme de compania siendo q tengo plan empresarial @ATTMx,2
@Duraznoflou Brayatan! Puedes realizar tu pago a traves de la app de Mi Telcel https://t.co/ELvCK6XHpb Tambien,4
Sabia que no debi haber renovado #alvlp https://t.co/WPzZK9HrNP,3
@FerGalindo segun @telcel? O lo que dice mi telefono?,3
@ATTMx pues yo soy @Telcel y me molestan que ATT y @MovistarMX me hablen diario para cambiar de compania. Evolucionen y dejen de joder porfa,1
RT @Telcel: Ya llego la app que estabas esperando: #TelcelPay. Conocela en #HolaTelcel. \nhttps://t.co/H5t0K3xchA,5
hay gente quej\87ndose del postureo de la nieve pues mira yo estoy super feliz de emocionarme tanto qu\8E quer\8Eis que os diga xdd,7
me siento de la chingada,3
RT @AlbertFabrega: Fantastico programa hoy en @movistar_F1 #horaf1 Hay muchas #ganasdef1 https://t.co/hdPNnaDwgY,5
Y movistar y claro con que signo zodiacal congenian? https://t.co/STSw1FE5tO,4
RT @Telcel: El fuego de los @DiablosRojosMX encendera la #NacionEscarlata,4
nunca he odiado tanto a Telcel,1
me caga,1
Nadie contrate @ATT @attcenter @ATTMx @ATTMxAyuda @ATTLatino @CambiATTMx dan un pesimo servicio,2
me gustara,5
nos cagamos,1
Que bien toca @fernandopoma,4
RT @ATTMx: Nos es grato informarte que el proceso de implementacion del Numero Unico de Emergencia 9-1-1 ya se encuentra disponible en todo,5
@FinalSDM Jose! Cambiate a #TelcelLaMejorRed donde nuestros asesores te brindaran asesoria oportuna via telefonica,5
RT @XatakaMexico: Mexico es el segundo pais con mejor cobertura 4G LTE en Latinoamerica https://t.co/Sbhmu4MESR https://t.co/KY6jroSxdc,5
"@SoyChuchoTec Graacias, estoy s\9Cper feliz",7
"Estuve 7 meses pensando en que tendr\92a primita y ser\87 primito, igual estoy s\9Cper feliz .",7
@AminHamedd Hola! Telcel tiene la cobertura mas grande de todo el pais,7
RT @haroldazuara: Estoy en Telcel pagando mis deudas para seguir twitteando,3
RT @SpheraSports: #Video | Absolutamente tronchante este sketch de Maldini,5
@yuyacst Yuyita Te Amo Mucho Ojala Lo Veas Y Me respondieras Me Harias super Feliz Te Amo Y siempre estoy contigo pic.twitter.com/JzJECsVJpI,7
me caes mal,2
@ilcapovescovi @AlbertFabrega @movistar_F1 @MovistarChile Y Movistar Venezuela tambien.,4
La maxima velocidad de transferencia de datos con LTE es de 300 Mb por segundo  https://t.co/cCkYERYDsw,5
Movistar+ cree que la mayoria de las series que hace Netflix son irrelevantes https://t.co/JshmHF396M https://t.co/8gwlwLSr28,3
Estoy s\9Cper feliz por todo lo que le est\87 sucediendo a Juanpa,7
estoy madreado,2
millie le dio fav a mae estoy super feliz por ella,7
Hace mas 2 semanas hice la portabilidad de movistar y todavia no me dieron la linea ,3
prefiero movistar en lugar de telcel,2
@yuyacst Estoy super feliz ya es mi cumplea\96os!!,7
"AHHHHHHH THIS IS WONDERFUL, ESTOY S\F2PER FELIZ POR TI FERRRR AAAAAAA https:// twitter.com/rosslbabe/stat us/821517699868147712 ",7
Mas competencia en fibra: la CNMC rebaja los costes de usar la fibra de Movistar en un 40% https://t.co/TFKD3tXo6n,5
@movistar_es ESTAFADORES CHORIZOS CHORIZOS ESTAFADORES ESTAFADORES CHORIZOS CHORIZOS ESTAFADORES CHORIZOS CHORIZOS ESTAFADORES ESTAFADORES,1
No s\8E por qu\8E pero por fuera estoy super feliz mientras que por dentro estoy muerto,7
@DalasReview infinitas gracias por tanto Dalasito estoy S\F2PER feliz,7
Empiezan los cuartos de la #Overwatch #XtraCup:\n\n@GamersOrigin vs @Movistar_Riders \n\nStream (casteo en frances):\nhttps://t.co/L35vbmoiB7,4
porqueria,1
@blancoduran @Telcel yo creo depende de cada cac porque en valle ote y HEB sendero a mi esposa embarazada le dieron preferencia,4
porqueria,1
@ATTMx @ATTMxAyuda  tengo pesimo servicio de internet dese ayer ,2
RT @elbandolero35: Indigenas del sureste le ganan la batalla a Telcel,5
"@ElJuanpaZurita @dolcegabbana Dios m\92o Juanpa que emoci\97n muchas felicidades, estoy s\9Cper feliz por ti!!",7
.@MovistarArg presenta sus nuevos planes pospago con mas datos y minutos https://t.co/iuSpxyUkOZ https://t.co/CcNpTzw7yh,5
#denuncia (461) 239 4127 @Telcel @Telmex  me trataron de extorsionar de este numero.,3
@CNCOmusic estoy s\9Cper fel\92z m\87s que orgullosa de poder decir que desde el primer d\92a yo soy #CNCOwners,7
.@mportilloES encabezara las retransmisiones de @F1 en @movistar_F1 - https://t.co/yDWlEJNOEx #F1 https://t.co/ACdKVo4UFm,4
#Movistar con tanta intensidad de los asesores lo que hacen es que uno cambie pero de operador,2
aqui apesta,2
RT @Patron__DelMal: . @movistar_es La direccion de la Hasienda no puedo darsela por motivos obvios.Arregleme la averia como sea senor Rodri,3
@poetafernandosg Hola Fernando! Cambiate con nosotros y experimenta la velocidad que #Telcel4GLTE tiene para ti https://t.co/tPlhQq6Z5N,5
RT @ileanapinedam: ReciclAndo,4
RT @fundaciontelmex: Asi se divierten los ninos en la clinica de Basketball con los jugadores de @Suns @liga_telmex_nba @NBAMEX @Telcel ht,5
@elsuecodjmarmol ...interrumpe de manera automatica. Te paso en el siguiente link >  https://t.co/gTv69SDtnM  como podes abonarla. PMA,3
@villalobossebas llor\8E do estoy feliz de todo lo que has logrado en estos 5 a\96os estoy super feliz que estoy llorando De emoci\97n te amo,7
apesta mucho telcel,2
Movistar me borro del mapa. Recien cancele la renta basica y me dejo sin saldo,2
nadie me atiende,2
@virginmobilemx NO tengo linea para llamar.. circulo vicioso no!!!?? Ya de verdad,3
Telcel y Paypal lanzan su propio sistema de pagos en Mexico https://t.co/kMbrAVbBKs #ALT1040 #Hipertextual #tech https://t.co/P4rMjEiQIM,4
Estoy s\9Cper feliz por ella,7
RT @XatakaMexico: Mexico es el segundo pais con mejor cobertura 4G LTE en Latinoamerica https://t.co/Sbhmu4MESR https://t.co/KY6jroSxdc,6
hoy he descubierto que las bistecs me resultan perfectas para estudiar estoy s\9Cper feliz,7
@25daniloo instante https://t.co/tPlhQq6Z5N No lo dudes somos tu mejor opcion! Te esperamos. GL https://t.co/DV9wcBWSxl,6
@HTCMexico lleve mi HTC 626s centro de atencion Telcel x garantia y su centro de servicio no hizo las reparaciones que se requeria No Carga,3
RT @Rayados: Ya esta aqui el nuevo jersey,5
"@AnaSadovsky estoy sonriendo super feliz y no me lo cruce Nose que me pasa, creo q la es la hora",7
@Profeco @ATTMx me esta haciendo el cargo x 1 linea inexistente los contacto me transfieren y me cuelgan,2
RT @SALJAE0609: Esta noche tendre que resetear el descodificador para ver el menu @movistarplus #atencion al cliente Movistar plus,4
RT @maldiniplus: Jovetic esta para titular el domingo en liga. Con Nasri cerquita. Menudo partidazo nos espera en Movistar Partidazo de @mo,5
no me siento muy,4
Este a\96o me est\87 saliendo todo super redondo y estoy tan feliz por eso,7
Tambien les falla el internet de Movistar?,3
Hace mas 2 semanas hice la portabilidad de movistar y todavia no me dieron la linea ,3
@Telcel No pedi nada de Zona Claro,2
@hunterwy telcel queeeeee tu mero y a ve viendoooo,4
@SoyRegioFresa Hola! Ven a recibir la atencion que mereces. Recuerda que nuestros asesores estan capacitados para brindarte asesoria...,5
@bycesarr17 tel. fijo y DNI del titular,4
que bonita flor,5
@Telcel claro que si,5
@LuisMelendez97 t ofrezco cambio a Movistarmx t regalamos el chip 4G y 30 dias de servicio por el cambio. Soy asesor telefonico d movistarmx,4
Cuatro formas de pasar tus contactos y archivos a otro celular sin morir en el intento https://t.co/AGJ2gFMHN9,5
@movistar_es Susana,4
RT @Telcel: No prives a tus contactos de seguir recibiendo tus payasadas,2
Estoy super feliz,7
Oye @ATTMx no puedo enviar mensajes que pasa con su servicio? desde ayer esta fallando :(,2
NECESITO QUE ALGUIEN LLAME A MOVISTAR Y ME ARREGLE LA SENAL PORQUE ME DA VERGUENZA LLAMAR Y TOY SUFRIENDO!!!,1
@ElJuanpaZurita te encontr\8E estas Hello que emoci\97n estoy super feliz por ti juanpa te lo mereces con todo el coraz\97n eres genial,7
\C1Esto es demasiado cierto! Estoy s\9Cper feliz porque a mi hijo peque\96o no le gustaba el huevo y https://www. instagram.com/p/BPX_rE1BU9-/,7
RT @agomezpalacio: Nuestras soluciones de Internet Fijo Pro te ofrecen 5,5
Feliz d\92a #TeamJohann GUADALAJARA ya un a\96o de esta hermosa familia estoy super orgullosa y vienen muchos a\96os mas apoyando @JohannVera1 pic.twitter.com/CS6FG9prXf,7
@josepatches lo dice Merlos que ya lo conociamos como zoquete en la F1 de Movistar,4
es porqueria,2
RT @movistar_es: Nuestra recomendacion de TV de la semana   Steve McQueen: The man and Le Mans   https://t.co/3tbYL7ruUR https://t.co/cUu,5
Hola mi Nicaragua bella! Estoy super feliz de compartirles el sitio web de Estudio de Maquillaje Toque de Angel... http:// fb.me/5qkgT7w0G,7
@encarnijm4 hola soy David,4
@Telcel que pasa con su senal? No he tenido internet en todo el dia!!! ,2
@villalobossebas Awwww desde hace 2 a\96os los estaba esperando estoy super feliz,7
RT @ATTMx: Nos es grato informarte que el proceso de implementacion del Numero Unico de Emergencia 9-1-1 ya se encuentra disponible en todo,5
"@viafara00 estoy s\9Cper feliz por ti, s\8E que lo disfrutaras much\92simo.",7
Despu\8Es de tanto a\96os sin un proyecto de Danna en Espa\96a estoy s\9Cper ansiosa y feliz porque estrenen #LaDo\96a,7
La concha de Movistar y mis datos,1
RT @XatakaMexico: Telcel Pay,4
@Jugoslovensko Unete a Telcel! Con uno de nuestros planes Telcel Max Sin Limite https://t.co/mI05zBoU6C disfrutaras de tus redes sociales,5
Estoy s\9Cper feliz porque estoy por preparar las cosas para irme a Bahia,7
mexico y colombia son paises amigos,5
putisima madre,1
estoy super feliz,7
no me siento muy,4
La AEPD permite a Movistar recoger la geolocalizacion de los moviles,4
@PatyCantu @rbbabendschau suerteee! Estoy s\9Cper feliz por ti :'),7
"Estoy s\9Cper feliz de poder verlos, y aunque no pude conocerlos, me lleve una muy linda experiencia de verlos por primera vez La rompieron",7
Nuevamente TELCEL COMPRANDOME ALFO YA PAGADO Y REDONDEADO A SU FAVOR @Profeco https://t.co/GK0pSoAjCE,3
RT @Telcel: C.U. sera el testigo del gran encuentro @PumasMX Vs @Cruz_Azul_FC! Quien ganara los 3 puntos? #FelizDomingo https://t.co/gpFq,7
RT @Patron__DelMal: . @movistar_es La direccion de la Hasienda no puedo darsela por motivos obvios.Arregleme la averia como sea senor Rodri,5
@Telcel hazme tuyo !,7
@Telcel te odio,1
@Movistar_Riders ok gracias,5
apesta mucho telcel,2
@casadellibro como puedo hablar con una de vuestras tiendas? Estoy llamando a vuestro 902 el unico numero que sale y me salta buzon Movistar,3
Que riqu\92simo tacos!! Gracias nati estoy feliz s\9Cper !,7
Aniversario de mis papas 20 a\96os que lindoooo estoy super feliz,7
@jlpi52 Hola,5
@Dritli @Telcel cuidado,4
